,0
72,http://lesdouceursdelafamillepraline.over-blog.com/article-croissants-et-pains-au-chocolat-pate-levee-feuilletee-124171263.html
73,http://www.lesfoodies.com/chadiray/recette/croissant-maison
74,http://webtv.ac-versailles.fr/restauration/Pate-levee-feuilletee-croissants-pains-au-chocolat
75,https://lemondeculinairedesamia.com/la-pate-levee-feuilletee/
76,https://www.tompress.com/A-10002782-calculer-la-temperature-de-l-eau-de-coulage-du-pain.aspx
77,http://unefolleenviedecuisiner.over-blog.com/2016/04/croissants-et-pains-au-chocolat.html
78,https://www.latribunedesmetiers.fr/vous-allez-faire-un-bon-et-beau-croissant/
79,https://www.admagazine.fr/lifestyle/le-carnet-adresses-de/diaporama/voici-comment-realiser-les-viennoiseries-de-cedric-grolet/59010
80,https://recettedebase.com/2017/04/17/croissants-maison-traditionnels-au-beurre/
81,https://www.atelierdeschefs.fr/fr/cours-en-ligne/1333-croissant-aux-amandes.php
82,https://www.fashioncooking.fr/2015/12/min-croissants-au-saumon-fume/
83,http://www.dauphingourmet.com/article-croissants-au-beurre-38437695.html
84,https://www.costcobusinesscentre.ca/au-pain-dor%C3%A9-frozen-butter-croissants%2C-pack-of-30.product.100296387.html
85,https://www.finedininglovers.fr/recettes/brunch/la-recette-des-croissants-de-cedric-grolet
86,https://lacuisinedethomas.fr/recettes/croissants-beurre-christophe-felder/
87,https://www.cookomix.com/recettes/croissants-thermomix/
88,https://www.gourmandpastries.com/fr/produits/croissants-nature/croissant-au-beurre/66
89,http://lacuisinedelilou92.over-blog.com/article-recettes-et-utilisation-du-croissant-party-tupperware-43807030.html
90,http://www.laets-bake-it.fr/blog/comment-faire-ses-croissants-pur-beurre-soi-meme
91,http://www.floured.fr/recette-de-croissants-pains-chocolat-levain-liquide-farine-complete/
92,http://techno.boulangerie.free.fr/04-Cours/03-PROCEDES2FAB/10-La_Cuisson/01-La_Cuisson.htm
93,http://mariatotal.com/articles/consulter/croissants-prets-a-cuire
94,http://www.montiroirarecettes.com/2013/05/croissants-au-beurre.html
95,https://www.vzug.com/medias/sys_master/imported-documents/imported-documents/hd3/hd4/8960523796510/J768.971-1.pdf?attachment=true
96,http://www.duretz.net/technologie_boulangere/procedes-de-fabrication-et-produits-finis/defauts-des-pates/
97,https://www.miele.ch/fr/c/selection-de-produits-tiroirs-1489.htm
